,energy_delta
470,63400.0
471,62080.0
472,60240.0
473,22940.0
474,57720.0
475,0.0
476,2540.0
477,2240.0
478,0.0
479,0.0
480,840.0
481,16580.0
482,560.0
483,94540.0
484,0.0
485,0.0
486,28260.0
487,39340.0
488,280.0
489,4200.0
490,33100.0
491,280.0
492,840.0
493,73200.0
494,101600.0
495,36660.0
496,26540.0
497,57280.0
498,280.0
499,0.0
500,214400.0
501,13320.0
502,2240.0
503,4480.0
504,280.0
505,2880.0
506,840.0
507,0.0
508,16220.0
509,0.0
510,28060.0
511,102680.0
512,1371374.0
513,5340.0
514,1400.0
515,20700.0
516,61980.0
517,18940.0
518,4320.0
519,12080.0
520,7120.0
521,66040.0
522,3360.0
523,20520.0
524,24160.0
525,91040.0
526,1400.0
527,106560.0
528,0.0
529,280.0
530,2840.0
531,0.0
532,3140.0
533,27840.0
534,0.0
535,30560.0
536,190470.0
537,0.0
538,10240.0
539,49620.0
540,61500.0
541,96180.0
542,102800.0
543,11440.0
544,106610.0
545,1379963.0
546,34700.0
547,25220.0
548,280.0
549,127780.0
550,58400.0
551,59000.0
552,12660.0
553,2260.0
554,0.0
555,63180.0
556,61320.0
557,280.0
558,98600.0
559,1400.0
560,100840.0
561,26880.0
562,2520.0
563,0.0
564,138340.0
565,3640.0
566,61700.0
567,149700.0
568,560.0
569,280.0
570,2280.0
571,46120.0
572,0.0
573,23460.0
574,621100.0
575,560.0
576,6160.0
577,0.0
578,42460.0
579,0.0
580,232220.0
581,106120.0
582,19360.0
583,29380.0
584,0.0
585,375540.0
586,280.0
587,19760.0
588,17780.0
589,239480.0
590,0.0
591,12100.0
592,280.0
593,3920.0
594,81080.0
595,280.0
596,16040.0
597,8820.0
598,18520.0
599,20740.0
600,0.0
601,14040.0
602,270340.0
603,1680.0
604,10480.0
605,280.0
606,92320.0
607,71300.0
608,14560.0
609,81100.0
610,18160.0
611,12180.0
612,0.0
613,471844.0
614,9240.0
615,49960.0
616,560.0
617,112600.0
618,48340.0
619,560.0
620,16000.0
621,7640.0
622,13120.0
623,0.0
624,15100.0
625,280220.0
626,211740.0
627,560.0
628,66180.0
629,64040.0
630,373450.0
631,840.0
632,280.0
633,2260.0
634,4200.0
635,3680.0
636,100140.0
637,73410.0
638,30860.0
639,230200.0
640,22580.0
641,0.0
642,280.0
643,31760.0
644,6160.0
645,28020.0
646,11080.0
647,3920.0
648,0.0
649,48320.0
650,36680.0
651,1680.0
652,169920.0
653,23100.0
654,11600.0
655,195250.0
656,0.0
657,280.0
658,15200.0
659,43260.0
660,181190.0
661,24780.0
662,0.0
663,0.0
664,1680.0
665,16220.0
666,560.0
667,18460.0
668,280.0
669,5940.0
670,66240.0
671,15560.0
672,140800.0
673,14820.0
674,7640.0
675,2520.0
676,38640.0
677,0.0
678,0.0
679,13480.0
680,43740.0
681,29480.0
682,280.0
683,11720.0
684,840.0
685,22240.0
686,90320.0
687,11360.0
688,0.0
689,280.0
690,28440.0
691,0.0
692,0.0
693,7440.0
694,44860.0
695,5920.0
696,53860.0
697,0.0
698,0.0
699,12260.0
700,8460.0
701,280.0
