,datetime,creator_character_id,guild_id,n_added_characters,n_removed_characters,n_talents,level,n_missions_completed,n_times_flag_turned_on,mean_place,mean_rating,n_seasons,n_characters,energy_delta,cluster,is_premuim
59,2022-12-18 00:20:53,25433532,82881,2,0,0,1,86,0,,0.0,0,2,0.0,1,False
60,2022-12-18 11:42:09,25874235,83163,137,120,26,4,196,0,,0.0,0,17,172680.0,0,False
61,2022-12-18 17:38:27,25952159,83351,1,1,0,1,3,0,,0.0,0,0,0.0,1,False
62,2022-12-18 19:04:02,26036523,83398,19,13,7,2,171,0,,0.0,0,6,21560.0,3,False
63,2022-12-18 00:45:22,26061409,82975,94,81,62,6,235,0,,0.0,0,13,703954.0,2,False
64,2022-12-18 05:51:03,26408042,83116,2,0,0,1,86,0,,0.0,0,2,560.0,1,False
65,2022-12-18 12:03:48,26497995,83257,13,5,1,1,165,0,,0.0,0,8,2800.0,3,False
66,2022-12-18 02:58:21,27005927,83022,2,2,0,1,0,0,,0.0,0,0,0.0,1,False
67,2022-12-18 22:48:21,27164305,83539,23,21,8,2,171,0,,0.0,0,2,25720.0,3,True
68,2022-12-18 00:34:46,27338783,82928,23,21,9,2,171,0,,0.0,0,2,15740.0,3,False
69,2022-12-18 12:03:47,27365647,83210,1,1,0,1,2,0,,0.0,0,0,0.0,1,False
70,2022-12-18 22:28:32,27369833,83492,2,2,0,1,21,0,,0.0,0,0,840.0,1,False
71,2022-12-18 04:44:40,27447205,83069,1,0,0,1,86,0,,0.0,0,1,0.0,1,False
72,2022-12-18 17:04:04,27516642,83304,1,1,0,1,1,0,,0.0,0,0,280.0,1,False
73,2022-12-24 23:23:51,28487633,90965,9,9,9,2,28,0,,0.0,0,0,14720.0,1,True
74,2022-11-21 13:28:00,12022761,58864,1,1,0,1,0,0,,0.0,0,0,0.0,1,True
75,2022-11-21 00:56:39,21507892,58629,3,0,3,1,165,0,,0.0,0,3,7720.0,3,False
76,2022-11-21 06:31:31,22124154,58770,12,9,3,2,167,0,,0.0,0,3,7140.0,3,False
77,2022-11-21 13:28:55,22405950,58911,47,46,18,3,167,0,,0.0,0,1,75820.0,3,False
78,2022-11-21 01:47:04,22421245,58676,6,6,0,1,34,0,,0.0,0,0,280.0,1,False
79,2022-11-21 03:32:15,22752721,58723,57,45,20,4,170,4,9.5,497.5,2,12,67580.0,0,False
80,2022-11-21 13:14:26,22906499,58817,108,90,62,6,244,1,,0.0,0,18,958969.0,2,True
81,2022-12-02 22:05:18,24905314,69674,67,65,9,3,166,0,,0.0,0,2,47560.0,3,True
82,2022-12-24 10:50:42,18694739,90166,83,62,109,8,279,0,,0.0,0,21,1847185.0,2,False
83,2022-12-24 12:11:41,21796565,90260,113,100,24,4,172,0,,0.0,0,13,84780.0,0,False
84,2022-12-24 10:42:48,23781511,90119,18,12,2,1,173,0,,0.0,0,6,11500.0,3,True
85,2022-12-24 05:16:39,25902870,89837,11,6,7,2,173,0,,0.0,0,5,13420.0,3,True
86,2022-12-24 09:57:40,26015202,90072,1,1,0,1,0,0,,0.0,0,0,0.0,1,False
87,2022-12-24 13:45:52,26152075,90307,53,52,15,3,172,0,,0.0,0,1,72520.0,3,False
88,2022-12-24 06:40:59,26623046,89931,36,34,8,2,170,0,,0.0,0,2,19460.0,3,False
89,2022-12-24 16:54:30,26948105,90542,3,3,0,1,1,0,,0.0,0,0,840.0,1,True
90,2022-12-24 20:17:07,27040703,90730,128,113,44,5,211,0,,0.0,0,15,462760.0,0,False
91,2022-12-24 05:30:07,27371305,89884,54,40,19,3,172,1,,0.0,0,14,70160.0,0,False
92,2022-12-24 12:00:43,27501485,90213,33,29,15,3,171,0,,0.0,0,4,43780.0,3,False
